Year,Quarter,Total_Mkt_Fare,depart_city,arrival_city,airlineID,Passengers_by_Carrier,CarriersMktShare,CarrierAvgFare,Carrier_MinFareIncrement,CarrierMinPassangerShare,CarrierMaxFareIncrement,CarrierMaxPassengerShare,depart_state,arrival_state,Avg_TDOMT_COST_carrier,avg_TDOMT_GALLONS_carrier,Monthly Average Temperature_depart,Monthly Total Precepitation_depart,Monthly Average Windspeed_depart,Monthly Average Temperature_arrival,Monthly Total Precepitation_arrival,Monthly Average Windspeed_arrival,distance
2003,1,279.13,51,90,20355,11690,0.96,277.36,150,0.05,425,0.08,6,34,48838000.0,55356333.333333336,-0.7333333333333333,93.33333333333331,11.166666666666666,2.455797101449275,76.11086956521739,15.009782608695653,176.4667088584293
2002,3,243.17,23,81,19704,12390,0.14,256.33,75,0.09,300,0.06,31,30,48821333.333333336,69278666.66666667,24.2,65.66666666666667,9.866666666666664,21.655555555555555,49.555555555555564,12.833333333333334,570.5218525673794
1997,1,236.5,55,81,20355,24070,0.41,242.76,125,0.19,425,0.21,13,30,58833500.0,87519000.0,1.8666666666666665,89.26666666666667,16.522222222222222,-2.0416666666666665,57.58333333333333,19.491666666666667,647.181090294879
1996,3,73.28,30,73,19805,6090,0.15,82.96,75,0.5,150,0.07,37,37,100014818.66666669,166695384.33333334,28.70992907801418,71.80177304964539,12.61099290780142,29.419999999999998,39.760000000000005,16.48,316.4188866328161
1998,3,253.94,8,23,19790,34720,0.97,255.0,100,0.26,425,0.2,9,31,87808426.33333333,180523886.3333333,25.5,109.33333333333331,10.266666666666667,22.780851063829783,81.8971631205674,8.672340425531916,371.6518515665481
2013,2,264.17,22,50,19977,8910,0.55,264.46,225,0.27,375,0.07,12,34,366517080.0,128814699.0,14.766666666666666,168.66666666666666,15.2,16.941176470588232,114.25490196078431,12.486274509803922,572.6629768658316
2013,2,264.17,22,50,19977,8910,0.55,264.46,225,0.27,375,0.07,12,34,366517080.0,128814699.0,14.733333333333334,168.66666666666666,14.8,16.941176470588232,114.25490196078431,12.486274509803922,572.6629768658316
2013,2,264.17,22,50,19977,8910,0.55,264.46,225,0.27,375,0.07,12,34,366517080.0,128814699.0,15.5,148.53333333333333,15.833333333333334,16.941176470588232,114.25490196078431,12.486274509803922,572.6629768658316
2010,2,247.1,55,75,19790,21650,0.73,266.25,175,0.13,325,0.05,13,20,328609080.0,141970101.0,16.31111111111111,110.08333333333333,13.600000000000001,18.91642156862745,83.61985294117648,12.525490196078431,510.09328510017326
2005,4,255.33,34,55,19386,15040,0.8,281.28,100,0.17,450,0.25,19,13,151729662.0,75070175.33333333,1.95,70.9,17.55,7.866666666666667,94.4,13.433333333333332,239.86810146847375
2010,1,268.79,53,123,19977,4220,0.13,317.55,150,0.06,450,0.11,1,7,168743225.0,78270970.33333333,5.433333333333333,113.66666666666669,11.633333333333336,4.466666666666666,61.0,16.099999999999998,606.1754580683197
1996,1,263.93,22,99,19977,11700,0.5,252.89,75,0.11,425,0.11,12,30,87060452.66666667,146981624.33333334,-2.9,33.36666666666667,18.866666666666664,-3.366666666666667,58.333333333333336,18.966666666666665,520.813901720796
2010,2,226.22,115,123,19977,3580,0.16,281.51,75,0.05,400,0.05,30,7,191062050.66666663,84453982.66666667,15.633333333333333,87.0,12.166666666666666,21.23333333333333,49.0,13.466666666666669,289.37096070989963
2004,2,98.31,18,81,19704,22320,0.12,154.97,100,0.19,200,0.11,30,30,72290333.33333333,67291333.33333333,13.233333333333334,99.0,15.1,13.033333333333331,94.0,14.333333333333334,295.8780347042394
